,Datastore,Table,DataElement,SVI_1,DVI_1,AdjR2_1,SVI_2,DVI_2,AdjR2_2,SVI_3,DVI_3,AdjR2_3,SVI_4,DVI_4,AdjR2_4,SVI_5,DVI_5,AdjR2_5,SVI_6,DVI_6,AdjR2_6,SVI_7,DVI_7,AdjR2_7
42,Default,Plan,GTD_MIN_VAL_ENT_CON,11.23733,0.00000,0.22000,10.19274,0.00000,0.22000,10.15856,0.00000,0.22000,11.25063,0.00000,0.22000,14.95388,0.00000,0.22000,19.50928,0.00000,0.22000,22.56362,0.00000,0.22000
43,Default,Plan,MVA_RATE_VAL_DATE,4.23877,66.74148,0.45000,3.16588,79.77303,0.45000,2.54647,100.75818,0.45000,2.44277,92.80501,0.45000,4.76965,74.68742,0.45000,8.33358,80.60842,0.45000,12.21571,9.49367,0.45000
44,Default,Plan,MVA_RATE,4.23873,66.74148,0.13000,3.16578,79.77303,0.13000,2.54632,100.75818,0.13000,2.44259,92.80501,0.13000,4.76945,74.68742,0.13000,8.33340,80.60842,0.13000,12.21563,9.49367,0.13000
45,Default,Plan,MVA_EXPIRE_DATE,4.23876,66.74148,0.68000,3.16584,79.77303,0.68000,2.54641,100.75818,0.68000,2.44270,92.80501,0.68000,4.76957,74.68742,0.68000,8.33352,80.60842,0.68000,12.21568,9.49367,0.68000
46,Default,Plan,ISS_AGE_ANNUITANT_2,4.23873,66.74148,0.84000,3.16578,79.77303,0.84000,2.54632,100.75818,0.84000,2.44259,92.80501,0.84000,4.76945,74.68742,0.84000,8.33340,80.60842,0.84000,12.21563,9.49367,0.84000
47,Default,Plan,GENDER_ANNUITANT_2,4.23873,66.74148,0.45000,3.16578,79.77303,0.45000,2.54632,100.75818,0.45000,2.44259,92.80501,0.45000,4.76945,74.68742,0.45000,8.33340,80.60842,0.45000,12.21563,9.49367,0.45000
48,Default,Plan,PCT_FUND_EXP_RATESW,4.23873,0.00000,0.68000,3.16578,0.00000,0.68000,2.54632,0.00000,0.68000,2.44259,0.00000,0.68000,4.76945,0.00000,0.68000,8.33340,0.00000,0.68000,12.21563,0.00000,0.68000
49,Default,Plan,PCT_FUND_EXP_RATE,4.23873,0.00000,0.83000,3.16578,0.00000,0.83000,2.54632,0.00000,0.83000,2.44259,0.00000,0.83000,4.76945,0.00000,0.83000,8.33340,0.00000,0.83000,12.21563,0.00000,0.83000
50,Default,Plan,PCT_FUND_EXP_WBDEDUCT_SW,4.23873,0.00000,0.37000,3.16578,0.00000,0.37000,2.54632,0.00000,0.37000,2.44259,0.00000,0.37000,4.76945,0.00000,0.37000,8.33340,0.00000,0.37000,12.21563,0.00000,0.37000
51,Default,Plan,PCT_FUND_EXP_RATEDUR,4.23873,0.00000,0.23000,3.16578,0.00000,0.23000,2.54632,0.00000,0.23000,2.44259,0.00000,0.23000,4.76945,0.00000,0.23000,8.33340,0.00000,0.23000,12.21563,0.00000,0.23000
52,Default,Plan,PCT_FUND_EXP_RATE2,4.23873,0.00000,0.85000,3.16578,0.00000,0.85000,2.54632,0.00000,0.85000,2.44259,0.00000,0.85000,4.76945,0.00000,0.85000,8.33340,0.00000,0.85000,12.21563,0.00000,0.85000
53,Default,Plan,AsOfDate,4.23873,127.90211,0.79000,3.16578,156.95836,0.79000,2.54632,193.49837,0.79000,2.44259,183.39208,0.79000,4.76945,119.57218,0.79000,8.33340,149.58592,0.79000,12.21563,248.26445,0.79000
54,Default,Plan,Entity,4.23873,127.90211,0.69000,3.16578,156.95836,0.69000,2.54632,193.49837,0.69000,2.44259,183.39208,0.69000,4.76945,119.57218,0.69000,8.33340,149.58592,0.69000,12.21563,248.26445,0.69000
55,Default,Plan,Block,4.23873,127.90211,0.71000,3.16578,156.95836,0.71000,2.54632,193.49837,0.71000,2.44259,183.39208,0.71000,4.76945,119.57218,0.71000,8.33340,149.58592,0.71000,12.21563,248.26445,0.71000
